City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
214,Leningradskiy,97,RU,2020-02-16 07:13:07,95,69.38,178.42,-19.43,8.97
215,Geraldton,40,AU,2020-02-16 07:13:08,50,-28.77,114.6,78.8,21.92
216,Surt,14,LY,2020-02-16 07:13:08,77,31.21,16.59,53.8,8.61
217,Srednekolymsk,6,RU,2020-02-16 07:13:08,95,67.45,153.68,-25.13,8.21
218,Bambanglipuro,7,ID,2020-02-16 07:13:08,69,-7.95,110.28,85.82,9.13
219,Santa Vitoria Do Palmar,0,BR,2020-02-16 07:13:08,88,-33.52,-53.37,73.85,8.14
220,Te Anau,100,NZ,2020-02-16 07:13:08,99,-45.42,167.72,55.65,6.69
221,Nieuw Amsterdam,40,SR,2020-02-16 07:13:09,94,5.88,-55.08,78.01,9.17
222,Dongsheng,0,CN,2020-02-16 07:13:09,33,39.82,109.98,21.92,15.77
223,Souillac,40,MU,2020-02-16 07:13:09,62,-20.52,57.52,84.2,12.75
224,Vostok,41,RU,2020-02-16 07:13:09,83,46.49,135.88,15.31,4.43
225,Espera Feliz,19,BR,2020-02-16 07:13:09,98,-20.65,-41.91,63.39,4.7
226,Stornoway,95,GB,2020-02-16 07:13:10,59,58.21,-6.39,35.01,16.11
227,Geelong,46,AU,2020-02-16 07:13:10,68,-38.15,144.36,77.0,19.46
228,Qianan,35,CN,2020-02-16 07:13:10,80,44.99,124.06,11.5,18.5
229,Terny,86,UA,2020-02-16 07:13:10,98,50.98,33.98,32.14,8.28
230,Puerto Madryn,11,AR,2020-02-16 07:13:10,20,-42.77,-65.04,63.59,15.23
231,Thompson,20,CA,2020-02-16 07:13:11,68,55.74,-97.86,-18.4,5.82
232,Tambovka,0,RU,2020-02-16 07:13:11,43,50.1,128.05,10.4,6.71
233,Cap Malheureux,40,MU,2020-02-16 07:13:11,62,-19.98,57.61,84.2,12.75
234,Tierralta,56,CO,2020-02-16 07:13:11,94,8.17,-76.06,74.17,3.31
235,Biak,50,ID,2020-02-16 07:13:11,67,-0.91,122.88,84.78,2.98
236,Tura,0,IN,2020-02-16 07:13:11,33,25.52,90.22,83.3,4.18
237,Tilichiki,42,RU,2020-02-16 07:13:12,90,60.47,166.1,-10.61,9.04
238,Koungou,75,YT,2020-02-16 07:13:12,74,-12.73,45.2,87.8,13.87
239,San Ignacio,0,BZ,2020-02-16 07:13:12,100,17.16,-89.07,73.0,2.06
240,Shumerlya,95,RU,2020-02-16 07:13:12,90,55.5,46.41,25.5,5.86
241,De Panne,100,BE,2020-02-16 07:13:12,87,51.08,2.59,57.99,28.86
242,Maragogi,8,BR,2020-02-16 07:13:13,74,-9.01,-35.22,81.54,8.3
243,Bonnyville,90,CA,2020-02-16 07:13:13,71,54.27,-110.73,5.0,5.82
244,Kamenice Nad Lipou,100,CZ,2020-02-16 07:13:13,80,49.3,15.08,42.01,1.99
245,Harper,15,LR,2020-02-16 07:13:13,98,4.38,-7.72,74.25,2.62
246,Fjerritslev,100,DK,2020-02-16 07:13:13,93,57.08,9.27,51.01,14.0
247,Fershampenuaz,100,RU,2020-02-16 07:13:13,95,53.52,59.81,20.79,3.76
248,Clyde River,90,CA,2020-02-16 07:13:14,76,70.47,-68.59,-4.0,14.99
249,Kenai,1,US,2020-02-16 07:13:14,71,60.55,-151.26,10.0,3.36
250,Amapa,99,BR,2020-02-16 07:13:14,99,1.0,-52.0,71.78,2.66
251,Otavi,100,NA,2020-02-16 07:13:14,59,-19.65,17.33,72.12,8.48
252,El Cope,26,PA,2020-02-16 07:13:14,47,8.62,-80.6,75.99,4.0
253,Tautira,40,PF,2020-02-16 07:13:15,78,-17.73,-149.15,78.8,4.7
254,Hithadhoo,4,MV,2020-02-16 07:13:15,71,-0.6,73.08,83.95,6.55
255,Boca Do Acre,28,BR,2020-02-16 07:13:15,97,-8.75,-67.4,71.96,1.48
256,Beringovskiy,100,RU,2020-02-16 07:13:15,96,63.05,179.32,-1.77,27.56
257,Sars,44,RU,2020-02-16 07:13:16,96,56.55,57.14,12.18,3.06
258,Quatre Cocos,40,MU,2020-02-16 07:13:16,62,-20.21,57.76,84.2,12.75
259,Birjand,2,IR,2020-02-16 07:13:16,14,32.87,59.22,48.2,4.7
260,Port Lincoln,32,AU,2020-02-16 07:13:16,56,-34.73,135.87,68.95,10.36
261,Jalu,0,LY,2020-02-16 07:13:17,85,29.03,21.55,53.69,10.98
262,Alofi,14,NU,2020-02-16 07:13:17,83,-19.06,-169.92,78.8,10.29
263,Norman Wells,20,CA,2020-02-16 07:13:17,64,65.28,-126.83,-43.6,3.91
264,Araguaina,45,BR,2020-02-16 07:13:17,84,-7.19,-48.21,70.0,1.83
265,Pevek,100,RU,2020-02-16 07:13:17,99,69.7,170.31,-23.39,4.21
266,Severo-Kurilsk,91,RU,2020-02-16 07:13:18,92,50.68,156.12,21.6,18.03
267,Vizinga,100,RU,2020-02-16 07:13:18,93,61.07,50.1,24.1,7.7
268,Sioux Lookout,1,CA,2020-02-16 07:13:18,69,50.1,-91.92,-7.6,4.7
269,Robat Karim,75,IR,2020-02-16 07:13:18,22,35.48,51.08,42.8,6.93
270,Forio,0,IT,2020-02-16 07:13:18,58,40.73,13.86,52.0,4.7
271,Dharchula,0,IN,2020-02-16 07:13:19,17,29.85,80.53,53.01,6.85
272,Pasni,0,PK,2020-02-16 07:13:19,17,25.26,63.47,74.73,24.29
273,Vuktyl,96,RU,2020-02-16 07:13:19,93,63.86,57.31,13.78,9.35
274,Ishigaki,75,JP,2020-02-16 07:13:19,100,24.34,124.16,60.8,23.04
275,Lagoa,100,PT,2020-02-16 07:13:20,81,39.05,-27.98,62.17,24.67
276,Dwarka,0,IN,2020-02-16 07:13:20,55,22.24,68.97,75.15,7.78
277,Grand-Lahou,39,CI,2020-02-16 07:13:20,87,5.14,-5.02,81.18,12.88
278,Dudinka,40,RU,2020-02-16 07:13:20,92,69.41,86.18,5.0,17.9
279,Copiapo,11,CL,2020-02-16 07:13:20,77,-27.37,-70.33,64.4,1.12
280,Kiama,90,AU,2020-02-16 07:13:21,78,-34.68,150.87,73.0,13.87
281,Hambantota,20,LK,2020-02-16 07:13:21,66,6.12,81.12,89.6,13.87
282,Maputo,40,MZ,2020-02-16 07:11:29,78,-25.97,32.59,82.0,6.93
283,Staryy Nadym,97,RU,2020-02-16 07:13:21,94,65.61,72.68,4.53,7.09
284,Krasnoselkup,88,RU,2020-02-16 07:13:21,94,65.7,82.47,7.92,8.59
285,Gangapur,0,IN,2020-02-16 07:13:22,11,26.48,76.72,78.64,1.16
286,Brainerd,1,US,2020-02-16 07:13:22,84,46.36,-94.2,14.0,5.03
287,Kuminskiy,69,RU,2020-02-16 07:13:22,92,58.67,66.57,14.7,5.19
288,Bima,100,ID,2020-02-16 07:13:22,67,-8.47,118.72,86.59,1.5
289,Shitanjing,0,CN,2020-02-16 07:13:22,15,39.23,106.34,28.49,1.9
290,Saskylakh,100,RU,2020-02-16 07:13:23,92,71.92,114.08,7.59,7.63
291,Los Llanos De Aridane,75,ES,2020-02-16 07:13:23,68,28.66,-17.92,64.4,9.17
292,Macklin,88,CA,2020-02-16 07:10:44,93,52.33,-109.93,0.75,8.7
293,Mackay,0,AU,2020-02-16 07:13:23,74,-21.15,149.2,89.01,11.41
294,Ulaanbaatar,0,MN,2020-02-16 07:13:23,51,47.91,106.88,14.0,2.24
295,Brae,29,GB,2020-02-16 07:13:24,80,60.4,-1.35,41.0,17.22
296,Seoul,75,KR,2020-02-16 07:09:30,79,37.57,126.98,33.8,4.7
297,Haines Junction,100,CA,2020-02-16 07:13:24,98,60.75,-137.51,-11.36,4.34
298,Kamiiso,75,JP,2020-02-16 07:13:24,92,41.82,140.65,30.2,13.87
299,Sabang,80,ID,2020-02-16 07:13:25,78,5.89,95.32,81.72,13.2
300,Camana,100,PE,2020-02-16 07:13:25,88,-16.62,-72.71,65.84,4.32
301,Vallenar,27,CL,2020-02-16 07:13:25,89,-28.57,-70.76,56.75,1.54
302,Nuuk,100,GL,2020-02-16 07:13:25,85,64.18,-51.72,14.0,9.17
303,San Quintin,0,MX,2020-02-16 07:13:25,83,30.48,-115.95,57.06,8.77
304,Pacific Grove,1,US,2020-02-16 07:08:54,81,36.62,-121.92,52.0,11.3
305,Valentin Gomez Farias,94,MX,2020-02-16 07:13:26,39,28.22,-106.58,48.0,3.0
306,San Ramon,1,US,2020-02-16 07:12:59,81,37.78,-121.98,54.0,6.93
307,Santa Rosalia,100,MX,2020-02-16 07:13:26,27,27.32,-112.28,59.05,3.2
308,Gonzales,90,US,2020-02-16 07:13:26,87,30.24,-90.92,60.8,6.93
309,Gazli,99,UZ,2020-02-16 07:13:27,54,40.13,63.45,39.92,11.5
310,Karymskoye,1,RU,2020-02-16 07:13:27,68,51.62,114.35,17.53,4.12
311,Yaan,97,NG,2020-02-16 07:13:27,86,7.38,8.57,68.67,4.94
312,Sangmelima,75,CM,2020-02-16 07:13:27,86,2.93,11.98,72.28,1.95
313,Egvekinot,100,RU,2020-02-16 07:13:28,89,66.32,-179.17,-14.28,17.22
314,Moose Factory,75,CA,2020-02-16 07:13:28,92,51.26,-80.61,15.8,4.7
315,Xinyu,51,CN,2020-02-16 07:13:28,55,27.8,114.93,47.86,2.89
316,Flinders,90,AU,2020-02-16 07:13:28,78,-34.58,150.86,73.99,13.87
317,Hlotse,0,LS,2020-02-16 07:13:28,44,-28.87,28.05,69.17,3.42
318,Buta,71,CD,2020-02-16 07:13:28,87,2.79,24.73,72.46,3.04
319,Bengkulu,100,ID,2020-02-16 07:13:29,86,-3.8,102.27,77.9,1.97
320,Tuktoyaktuk,20,CA,2020-02-16 07:13:29,64,69.45,-133.04,-43.6,3.36
321,Kaeo,88,NZ,2020-02-16 07:13:29,100,-35.1,173.78,71.01,1.01
322,Ceres,1,US,2020-02-16 07:13:29,81,37.59,-120.96,53.6,6.93
323,Caranavi,77,BO,2020-02-16 07:13:29,98,-15.82,-67.55,61.16,2.06
324,Palana,68,RU,2020-02-16 07:13:30,90,59.12,159.97,1.2,7.52
325,Moron,0,AR,2020-02-16 07:12:01,88,-34.65,-58.62,80.01,3.36
326,Santiago De Compostela,90,ES,2020-02-16 07:13:30,100,42.88,-8.55,63.0,20.8
327,Kitui,93,KE,2020-02-16 07:13:31,83,-1.37,38.01,71.04,6.08
328,Goundam,86,ML,2020-02-16 07:13:31,10,16.41,-3.67,68.22,9.04
329,Dikson,100,RU,2020-02-16 07:13:31,97,73.51,80.55,12.16,12.93
330,Makakilo City,75,US,2020-02-16 07:13:31,73,21.35,-158.09,75.2,4.7
331,Lisala,68,CD,2020-02-16 07:13:32,41,2.15,21.52,77.85,3.18
332,Igarka,93,RU,2020-02-16 07:13:32,95,67.47,86.58,1.96,6.29
333,Eenhana,75,NA,2020-02-16 07:13:32,60,-17.47,16.33,75.2,6.93
334,Palauig,0,PH,2020-02-16 07:13:32,56,15.44,119.9,81.21,8.41
335,Ramnagar,0,IN,2020-02-16 07:13:32,52,29.4,79.12,70.2,5.99
336,Fort Nelson,90,CA,2020-02-16 07:13:33,76,58.81,-122.7,-11.2,8.05
337,Kuching,75,MY,2020-02-16 07:13:33,63,1.55,110.33,91.4,2.24
338,Oskarshamn,40,SE,2020-02-16 07:13:33,87,57.26,16.45,45.0,16.11
339,Sungairaya,100,ID,2020-02-16 07:13:33,91,0.7,108.9,76.33,3.36
340,Sept-Iles,90,CA,2020-02-16 07:13:33,85,50.2,-66.38,14.0,2.24
341,Ankazoabo,0,MG,2020-02-16 07:13:34,61,-22.28,44.52,82.22,4.41
342,Sandpoint,90,US,2020-02-16 07:11:09,98,48.28,-116.55,34.0,4.7
343,Waterloo,90,CA,2020-02-16 07:12:36,80,43.47,-80.52,35.01,13.87
344,Lata,75,PT,2020-02-16 07:13:34,93,40.16,-8.33,55.0,4.7
345,Omboue,100,GA,2020-02-16 07:13:34,94,-1.57,9.26,77.11,0.22
346,Imbituba,0,BR,2020-02-16 07:13:35,100,-28.24,-48.67,77.0,11.41
347,Polis,91,CY,2020-02-16 07:13:35,66,35.04,32.43,57.0,3.36
348,Ahipara,57,NZ,2020-02-16 07:13:35,100,-35.17,173.17,71.01,1.01
349,Caravelas,17,BR,2020-02-16 07:13:35,80,-17.71,-39.25,79.74,4.18
350,Chumikan,0,RU,2020-02-16 07:13:35,75,54.72,135.31,10.47,6.44
351,Snezhnogorsk,75,RU,2020-02-16 07:13:35,92,69.19,33.25,23.0,2.24
352,Kailua,75,US,2020-02-16 07:13:36,73,21.4,-157.74,75.2,4.7
353,Pokhara,2,NP,2020-02-16 07:13:36,41,28.23,83.98,74.48,3.53
354,Neiafu,40,TO,2020-02-16 07:13:36,74,-18.65,-173.98,80.6,10.29
355,Puerto Escondido,0,MX,2020-02-16 07:13:36,67,15.85,-97.07,70.63,3.04
356,Port Keats,87,AU,2020-02-16 07:11:02,74,-14.25,129.55,88.45,12.41
357,Porto Belo,56,BR,2020-02-16 07:13:37,100,-27.16,-48.55,79.0,11.41
358,Kokoda,50,PG,2020-02-16 07:13:37,78,-8.88,147.74,70.43,5.37
359,Greymouth,100,NZ,2020-02-16 07:13:37,93,-42.47,171.2,65.07,39.55
360,Bisira,76,PA,2020-02-16 07:13:37,90,8.52,-81.71,66.58,14.72
361,Perepravnaya,95,RU,2020-02-16 07:13:37,82,44.34,40.78,31.73,9.35
362,Gushikawa,75,JP,2020-02-16 07:13:38,93,26.35,127.87,60.8,27.51
363,Marawi,67,PH,2020-02-16 07:13:38,81,8.0,124.29,82.0,8.99
364,Tabas,3,IR,2020-02-16 07:13:38,27,33.6,56.92,41.0,0.89
365,Mana,41,GF,2020-02-16 07:13:38,98,5.66,-53.78,72.34,1.66
366,Tsumeb,75,NA,2020-02-16 07:13:38,68,-19.23,17.72,71.6,5.82
367,Gao,78,ML,2020-02-16 07:13:39,10,16.64,1.64,67.46,13.51
368,Bandarbeyla,65,SO,2020-02-16 07:13:39,74,9.49,50.81,76.59,14.99
369,Sawtell,90,AU,2020-02-16 07:13:39,88,-30.38,153.1,78.8,1.12
370,Kapit,76,MY,2020-02-16 07:13:39,53,2.02,112.93,90.57,2.95
371,Lorengau,50,PG,2020-02-16 07:13:40,78,-2.02,147.27,83.71,12.41
372,Sturgis,40,US,2020-02-16 07:13:40,86,41.8,-85.42,33.8,4.7
373,Owando,46,CG,2020-02-16 07:13:40,72,-0.48,15.9,75.42,0.87
